Timestamp,Policy Number,Program,Customer Name,Status,Payment Method,Primary Jurisdiction,Total Policy Premium,Payment Plan,Employment Category,Vehicle Use,Ownership,Policy Coverage Option
2026-01-29 04:45:43,PA9263622857-00,Personal Auto,Marko Djokovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-29 04:46:39,PA9263787757-00,Personal Auto,John Doe,Active,Bill Me,Massachusetts,"$ 2,846.65",Quarterly Pay,Employed,Pleasure,Owned,Platinum
2026-01-29 04:47:36,PA9263951857-00,Personal Auto,Petar Petrovic,Active,Bill Me,Massachusetts,"$ 1,606.30",Quarterly Pay,Employed,Pleasure,Owned,Silver
2026-01-29 04:48:33,PA9264113957-00,Personal Auto,Nikola Nikolic,Active,Bill Me,Massachusetts,"$ 1,132.85",Quarterly Pay,Employed,Pleasure,Owned,Bronze
2026-01-29 04:49:31,PA9264276957-00,Personal Auto,Ivan Ivic,Active,Bill Me,Massachusetts,"$ 1,841.93",Quarterly Pay,Employed,Farm,Owned,Gold
2026-01-29 04:50:26,PA9264441857-00,Personal Auto,Luka Lukic,Active,Bill Me,Massachusetts,"$ 2,628.47",Quarterly Pay,Employed,Business,Owned,Gold
2026-01-29 04:51:22,PA9264606757-00,Personal Auto,Milos Milic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-01-29 04:52:18,PA9265270757-00,Personal Auto,Stefan Stojanovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Disabled,Pleasure,Owned,Gold
2026-01-29 09:58:36,PA9271913957-00,Personal Auto,Marko Djokovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-29 10:01:29,PA9272236557-00,Personal Auto,Marko Djokovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-29 10:11:01,PA9272602757-00,Personal Auto,Marko Djokovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-29 10:29:56,PA9272824157-00,Personal Auto,Marko Djokovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-29 10:36:58,PA9273370257-00,Personal Auto,Marko Djokovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-29 11:17:04,PA9274713057-00,Personal Auto,Marko Djokovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-29 11:29:08,PA9274894757-00,Personal Auto,Marko Djokovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-30 05:53:32,PA9299225157-00,Personal Auto,Marko Djokovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-30 06:01:10,PA9299451657-00,Personal Auto,Marko Djokovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-30 06:05:17,PA9299616557-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-30 06:21:38,PA9300519557-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-30 06:22:34,PA9300684457-00,Personal Auto,Robert Johnson,Active,Bill Me,Massachusetts,"$ 3,353.92",Quarterly Pay,Employed,Business,Owned,Platinum
